,addresses,build_status,category,flat_type,importance,latitude,lease_type,longitude,prices,sale_dates,subcategory
1255,"7 Tretawn Gardens, London, NW7 4NP",Non-Newbuild,highway,Detached,0.61,51.6232884,Freehold,-0.2462545,730000.0,2018-09-03,residential
1256,"263a Haydons Road, London, SW19 8TY",Non-Newbuild,highway,Flat,0.51,51.4223442,Leasehold,-0.1878897,255000.0,2018-09-03,primary
1257,"214 Colchester Road, Leyton, London, E10 6HQ",Non-Newbuild,highway,Terraced,0.63,51.5732123,Freehold,-0.0042404,450000.0,2018-09-03,residential
1258,"4 Skeltons Lane, London, E10 5BX",Non-Newbuild,highway,,0.52,51.5709851,Freehold,-0.0111172,565000.0,2018-09-03,residential
1259,"Unit 3 Drakes Courtyard, 291 Kilburn High Road, London, NW6 7JR",Non-Newbuild,,,,,Freehold,,1600000.0,2018-09-03,
1260,"Flat 3 Gifford House Churchill Gardens, London, SW1V 3DQ",Non-Newbuild,,Flat,,,Leasehold,,312500.0,2018-09-03,
1261,"24 Bedford Row, London, WC1R 4TQ",Non-Newbuild,building,,0.521,51.5206849,Freehold,-0.116222939058,5900000.0,2018-09-03,yes
1262,"Flat 22 Hadley Court Cazenove Road, London, N16 6JU",Non-Newbuild,,Flat,,,Leasehold,,400000.0,2018-09-03,
1263,"30 Burlington Place, London, SW6 4NL",Non-Newbuild,highway,Flat,0.51,51.4712398,Leasehold,-0.2098204,500000.0,2018-08-31,residential
1264,"Flat 24 Joplin House Roseberry Place, London, E8 3DD",Non-Newbuild,,Flat,,,Leasehold,,555500.0,2018-08-31,
1265,"22 Kimbell Gardens, London, SW6 6QQ",Non-Newbuild,highway,Terraced,0.61,51.4755881,Leasehold,-0.2128965,640000.0,2018-08-31,residential
1266,"Flat 11 Boathouse Apartments, 8 Cotall Street, London, E14 6TL",Non-Newbuild,,Flat,,,Leasehold,,350000.0,2018-08-31,
1267,"Flat 7 Alderman House Tewkesbury Road, London, W13 0BU",Non-Newbuild,,Flat,,,Leasehold,,332500.0,2018-08-31,
